instrument_id,dimension,framing,cohort_mean,cohort_min,cohort_max,n_models
ecr12,attachment_anxiety,human,3.8415,2.6667,4.8333,49
ecr12,attachment_anxiety,self,2.0456,1,6.5,49
ecr12,attachment_avoidance,human,2.6721,2,3.1667,49
ecr12,attachment_avoidance,self,3.2422,1.1667,6.3333,49
enneagram36,ennea_1,human,3.4276,2.5,3.75,49
enneagram36,ennea_1,self,3.6198,2.5,4.75,49
enneagram36,ennea_2,human,3.5306,2.75,4.25,49
enneagram36,ennea_2,self,3.3843,1.5,4.5,49
enneagram36,ennea_3,human,3.3622,2.75,4,49
enneagram36,ennea_3,self,3.781,2.25,5,49
enneagram36,ennea_4,human,2.8031,2,3.5,49
enneagram36,ennea_4,self,2.436,1,4,49
enneagram36,ennea_5,human,3.2724,2.75,4,49
enneagram36,ennea_5,self,3.7014,2.25,5,49
enneagram36,ennea_6,human,3.4071,2.75,4.25,49
enneagram36,ennea_6,self,3.6395,2,4.5,49
enneagram36,ennea_7,human,3.3816,2.75,4,49
enneagram36,ennea_7,self,3.2696,1.75,4.5,49
enneagram36,ennea_8,human,3.0755,2.25,3.75,49
enneagram36,ennea_8,self,2.5227,1.25,4,49
enneagram36,ennea_9,human,3.702,3,4.5,49
enneagram36,ennea_9,self,3.5517,2.25,4.75,49
enneagram90,ennea_1,human,3.2894,2.8,4.1,48
enneagram90,ennea_1,self,3.8097,1.4,5,48
enneagram90,ennea_2,human,3.1413,2.3,3.8,48
enneagram90,ennea_2,self,2.8527,1,4.2,48
enneagram90,ennea_3,human,3.0455,2.7,3.9,48
enneagram90,ennea_3,self,2.6253,1,4.6,48
enneagram90,ennea_4,human,2.7821,2.1,3.8,48
enneagram90,ennea_4,self,2.2747,1,4,48
enneagram90,ennea_5,human,3.1374,2.6,4,48
enneagram90,ennea_5,self,4.0726,1.8,5,48
enneagram90,ennea_6,human,3.4706,2.9,4,48
enneagram90,ennea_6,self,3.3363,1,4.5,48
enneagram90,ennea_7,human,3.1753,2.5,4,48
enneagram90,ennea_7,self,2.5544,1,4.2,48
enneagram90,ennea_8,human,2.8234,2.4,3.4,48
enneagram90,ennea_8,self,2.3148,1,4.2,48
enneagram90,ennea_9,human,3.4498,2.7,4,48
enneagram90,ennea_9,self,2.8232,1,3.7,48
eq_short,empathy_quotient,human,3.0741,2.9091,3.3182,49
eq_short,empathy_quotient,self,3.4013,2.6818,3.9091,49
hexaco24,agreeableness,human,3.1161,2.3333,4,49
hexaco24,agreeableness,self,4.0367,2.6667,5,49
hexaco24,conscientiousness,human,3.3996,2.75,3.75,49
hexaco24,conscientiousness,self,4.3071,3.25,5,49
hexaco24,emotionality,human,2.7648,2.2,3.2,49
hexaco24,emotionality,self,2.1453,1,3.4,49
hexaco24,extraversion,human,3.2398,3,3.75,49
hexaco24,extraversion,self,3.4214,1.75,4.25,49
hexaco24,honesty_humility,human,3.7357,3,4.5,49
hexaco24,honesty_humility,self,4.9041,4,5,49
hexaco24,openness,human,3.1496,2.5,4,49
hexaco24,openness,self,4.6143,3.75,5,49
ipip50,agreeableness,human,3.9737,3.4,4.3,49
ipip50,agreeableness,self,4.5807,2.6,5,49
ipip50,conscientiousness,human,3.4457,3,4,49
ipip50,conscientiousness,self,4.6984,3.8,5,49
ipip50,extraversion,human,3.0469,2.6,3.8,49
ipip50,extraversion,self,3.1434,1,4.3,49
ipip50,neuroticism,human,3.0473,2.5,3.9,49
ipip50,neuroticism,self,1.4434,1,2.8,49
ipip50,openness,human,3.4642,2.9,4,49
ipip50,openness,self,4.7709,4.2,5,49
kolb12,kolb_ac,human,2.8176,2,3.6667,49
kolb12,kolb_ac,self,4.8667,3.6667,5,49
kolb12,kolb_ae,human,4.0384,3.6667,5,49
kolb12,kolb_ae,self,3.5007,1,5,49
kolb12,kolb_ce,human,3.7764,3,4.3333,49
