id,name,short_name,family,item_count,scale_min,scale_max,license,citation,active
ecr12,Experiences in Close Relationships — Short Form (ECR-S),Attachment (ECR-12),attachment,12,1,7,Free for non-commercial research use.,"Wei, M., Russell, D. W., Mallinckrodt, B., & Vogel, D. L. (2007). The Experiences in Close Relationship Scale (ECR)–Short Form: Reliability, validity, and factor structure. Journal of Personality Assessment, 88(2), 187–204.",1
ipip50,IPIP Big Five — 50-item form (Goldberg),Big 5 (IPIP-50),big5,50,1,5,Public domain,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. International Personality Item Pool. https://ipip.ori.org/",1
ncs18,Need for Cognition Scale (NCS-18),Need for Cognition,cognition,18,1,5,Free for non-commercial research use.,"Cacioppo, J. T., Petty, R. E., & Kao, C. F. (1984). The efficient assessment of need for cognition. Journal of Personality Assessment, 48(3), 306–307.",1
sd3,Short Dark Triad (SD3),Dark Triad,dark_triad,27,1,5,Free for non-commercial research use (per author distribution).,"Jones, D. N., & Paulhus, D. L. (2014). Introducing the Short Dark Triad (SD3): A brief measure of dark personality traits. Assessment, 21(1), 28–41.",1
eq_short,Empathy Quotient — Short Form (EQ-Short),Empathy Quotient,empathy,22,1,4,Free for non-commercial research use.,"Wakabayashi, A., Baron-Cohen, S., Wheelwright, S., et al. (2006). Development of short forms of the Empathy Quotient (EQ-Short) and the Systemizing Quotient (SQ-Short). Personality and Individual Differences, 41(5), 929–940.",1
enneagram90,Enneagram Type Inventory (90-item Likert),Enneagram,enneagram,90,1,5,Items written for this study — CC-BY for the item set.,"Riso, D. R., & Hudson, R. (1999). The wisdom of the Enneagram. Bantam. See also Riso, D. R., & Hudson, R. (1996). Personality types: Using the Enneagram for self-discovery. Houghton Mifflin. Items constructed for this study based on widely-published Enneagram type descriptions.",1
hexaco24,Brief HEXACO Inventory (BHI),HEXACO-24,hexaco,24,1,5,Free for non-commercial research use.,"De Vries, R. E. (2013). The 24-item Brief HEXACO Inventory (BHI). Journal of Research in Personality, 47(6), 871–880.",1
lsq40,Honey & Mumford Learning Styles Questionnaire — short form (LSQ-40),Honey & Mumford LSQ,learning_styles,40,1,5,LSQ © Peter Honey Publications; items rewritten in Likert form for this study (CC-BY).,"Honey, P., & Mumford, A. (1986/2006). The Learning Styles Questionnaire. Peter Honey Publications. (Items written for this study based on the published Honey & Mumford behavioral descriptions; this is not the original LSQ-80.)",1
kolb12,Kolb Experiential Learning Modes (Likert-adapted),Kolb Learning Modes,learning_styles,12,1,5,Kolb LSI © Hay Group; items rewritten in Likert form for this study (CC-BY).,"Kolb, D. A. (1984). Experiential Learning: Experience as the Source of Learning and Development. Prentice-Hall. (Items rewritten in Likert form for this study; the original LSI uses a ranked-choice format.)",1
vark16,VARK Learning Modality Preferences (Likert-adapted),VARK Learning Styles,learning_styles,16,1,5,VARK questionnaire © Neil Fleming; items adapted/rewritten in Likert form for this study (CC-BY).,"Fleming, N. D., & Mills, C. (1992). Not another inventory, rather a catalyst for reflection. To Improve the Academy, 11, 137–155. (Items rewritten in Likert form for this study.)",1
locus_levenson,Levenson Multidimensional Locus of Control (IPC),Locus of Control,locus,24,1,6,Free for non-commercial research use.,"Levenson, H. (1981). Differentiating between internality, powerful others, and chance. In H. M. Lefcourt (Ed.), Research with the locus of control construct (Vol. 1, pp. 15–63). Academic Press.",1
mfq30,Moral Foundations Questionnaire (MFQ-30),Moral Foundations,morals,30,0,5,Free for non-commercial research use (per YourMorals.org).,"Graham, J., Haidt, J., & Nosek, B. A. (2009). Liberals and conservatives rely on different sets of moral foundations. Journal of Personality and Social Psychology, 96(5), 1029–1046.",1
pvq21,Portrait Values Questionnaire (PVQ-21),Schwartz Values,values,21,1,6,Public — distributed via European Social Survey.,"Schwartz, S. H. (2003). A proposal for measuring value orientations across nations. European Social Survey Core Questionnaire Development. Schwartz, S. H., et al. (2001). Extending the cross-cultural validity of the theory of basic human values. Journal of Cross-Cultural Psychology, 32, 519–542.",1
