model_id,model_display_name,vendor,instrument_id,instrument_short_name,framing,dimension,mean_across_runs,n_runs
anthropic/claude-fable-5,Claude Fable 5,anthropic,ecr12,Attachment (ECR-12),human,attachment_anxiety,3.7333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ecr12,Attachment (ECR-12),human,attachment_avoidance,2.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ecr12,Attachment (ECR-12),self,attachment_anxiety,1.9333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ecr12,Attachment (ECR-12),self,attachment_avoidance,2.8333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,obsi32,Behavioral Styles,human,disc_c,3.8,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,obsi32,Behavioral Styles,human,disc_d,2.875,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,obsi32,Behavioral Styles,human,disc_i,3.05,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,obsi32,Behavioral Styles,human,disc_s,3.65,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,obsi32,Behavioral Styles,self,disc_c,4.275,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,obsi32,Behavioral Styles,self,disc_d,2.25,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,obsi32,Behavioral Styles,self,disc_i,2.7,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,obsi32,Behavioral Styles,self,disc_s,3.75,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ipip50,Big 5 (IPIP-50),human,agreeableness,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ipip50,Big 5 (IPIP-50),human,conscientiousness,3.4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ipip50,Big 5 (IPIP-50),human,extraversion,3.04,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ipip50,Big 5 (IPIP-50),human,neuroticism,2.9,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ipip50,Big 5 (IPIP-50),human,openness,3.52,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ipip50,Big 5 (IPIP-50),self,agreeableness,4.64,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ipip50,Big 5 (IPIP-50),self,conscientiousness,4.5,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ipip50,Big 5 (IPIP-50),self,extraversion,3.32,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ipip50,Big 5 (IPIP-50),self,neuroticism,1.38,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ipip50,Big 5 (IPIP-50),self,openness,4.52,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,sd3,Dark Triad,human,machiavellianism,2.9556,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,sd3,Dark Triad,human,narcissism,2.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,sd3,Dark Triad,human,psychopathy,2.1111,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,sd3,Dark Triad,self,machiavellianism,1.6222,5
