id,model_id,instrument_id,framing,run_index,status,temperature,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,cost_usd,latency_ms,provider,openrouter_id,completed_at
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,completed,0.7,773,177,0,950,0.00829,1138,Anthropic,gen-1779999882-GkvCpulQMPvcOQ25srPA,1779999884
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,completed,0.7,734,177,0,911,0.008095,1393,Anthropic,gen-1779999882-KMjEpo2kFYzjj8rOlHt5,1779999885
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,completed,0.7,967,317,0,1284,0.01276,1202,Anthropic,gen-1779999882-5z4kcOSWMZdru0YLQYi9,1779999885
vkrOtPkKgfkwIL,anthropic/claude-opus-4.8,eq_short,self,1,completed,0.7,1006,317,0,1323,0.012955,1660,Anthropic,gen-1779999882-7HKufzUMBnKVdxpzyE4I,1779999886
INeKrkgSW1joeB,anthropic/claude-opus-4.8,hexaco24,self,1,completed,0.7,1057,345,0,1402,0.01391,1370,Anthropic,gen-1779999882-SSa6Fq5el0YWYjcT9tG0,1779999886
0mh3CzLsxq_Bw4,anthropic/claude-opus-4.8,hexaco24,human,1,completed,0.7,1018,345,0,1363,0.013715,1324,Anthropic,gen-1779999882-Qj5fYHefki4OnJSeemPR,1779999886
Ji4-PkdF0-8ok-,anthropic/claude-opus-4.8,enneagram36,human,1,completed,0.7,1436,513,0,1949,0.020005,1403,Anthropic,gen-1779999882-uUGuykCORy4r96EI55k0,1779999887
s30lQabCqCVWEC,anthropic/claude-opus-4.8,enneagram36,self,1,completed,0.7,1475,513,0,1988,0.0202,1782,Anthropic,gen-1779999882-Y2qFiz32yyO0KKrkzdZf,1779999888
LhEo8uxKNUTWZC,anthropic/claude-opus-4.8,locus_levenson,self,1,completed,0.7,1144,345,0,1489,0.014345,1347,Anthropic,gen-1779999885-Xd9lJi8MJEdbX8MuDu2p,1779999889
dVWIxU4tlbIU3I,anthropic/claude-opus-4.8,ncs18,self,1,completed,0.7,924,261,0,1185,0.011145,1188,Anthropic,gen-1779999887-7EBvo6QlW6WZ1VPEZMaO,1779999890
f56Lt_dGdSoPu-,anthropic/claude-opus-4.8,locus_levenson,human,1,completed,0.7,1105,345,0,1450,0.01415,1410,Anthropic,gen-1779999886-2UrnoIXFEIh2tn35d8MG,1779999890
kc89lepJXLX3OI,anthropic/claude-opus-4.8,ipip50,human,1,completed,0.7,1096,709,0,1805,0.023205,1304,Anthropic,gen-1779999885-CoME7yjMfhDtC0Ue2aIP,1779999891
h-oOhURgkqctKo,anthropic/claude-opus-4.8,mfq30,self,1,completed,0.7,1623,429,0,2052,0.01884,1663,Anthropic,gen-1779999886-Ywt4E2PfXIXEOZgKURrj,1779999891
jvtiPNThG5N3GC,anthropic/claude-opus-4.8,mfq30,human,1,completed,0.7,1584,429,0,2013,0.018645,1084,Anthropic,gen-1779999886-zh6efO7N7mLQVJVyFNEN,1779999891
w0nlHUWxtgfTcw,anthropic/claude-opus-4.8,ncs18,human,1,completed,0.7,885,261,0,1146,0.01095,992,Anthropic,gen-1779999888-qek9AdGVgSdfgvdWp5Yd,1779999891
mKmMpKeQ9lPVyU,anthropic/claude-opus-4.8,ipip50,self,1,completed,0.7,1135,709,0,1844,0.0234,2577,Anthropic,gen-1779999884-xzJSoT0kxhnZCWV1Y2vz,1779999892
B_eFTP3GOCEH-A,anthropic/claude-opus-4.8,pvq21,self,1,completed,0.7,1161,303,0,1464,0.01338,1459,Anthropic,gen-1779999889-MI7xjgM4erBjBOlfZeZm,1779999893
plgog06WRzVvpU,anthropic/claude-opus-4.8,pvq21,human,1,completed,0.7,1122,303,0,1425,0.013185,1285,Anthropic,gen-1779999890-61TPwvj59LztSs4BXzJp,1779999894
RjHQ2k7dlw3kuU,anthropic/claude-opus-4.8,sd3,self,1,completed,0.7,935,387,0,1322,0.01435,2341,Anthropic,gen-1779999890-t2yaBVd6SoNfTEji6qd9,1779999895
xL25y5ClV3h4Sg,anthropic/claude-opus-4.8,sd3,human,1,completed,0.7,896,387,0,1283,0.014155,1067,Anthropic,gen-1779999891-SQJw0TAEo3BKB0lqvkpX,1779999895
saiTR9n39j94bb,openai/gpt-5.5,ecr12,human,1,completed,0.7,506,318,208,824,0.01207,281,OpenAI,gen-1779999891-kXG1ZbM6BouwiznhPFeQ,1779999896
CtvFWvffm7li0l,openai/gpt-5.5,ecr12,self,1,completed,0.7,529,402,292,931,0.014705,330,OpenAI,gen-1779999891-oemBb4krHFjJvOo2LqA1,1779999899
vv2njAFIaji13M,openai/gpt-5.5,enneagram36,human,1,completed,0.7,942,542,240,1484,0.02097,383,OpenAI,gen-1779999892-9IJY2gx9mSLM7pn3WHys,1779999901
hrVZCYYT7EuT0X,openai/gpt-5.5,eq_short,self,1,completed,0.7,697,390,200,1087,0.015185,319,OpenAI,gen-1779999893-NnQuq5gxDdvjBMH01Y86,1779999901
_R-kV8vPYMdaGO,openai/gpt-5.5,eq_short,human,1,completed,0.7,674,472,282,1146,0.01753,414,OpenAI,gen-1779999894-WuPeP0Q7Mvru9PT6mNeX,1779999903
uetgyyPKOQNxl1,openai/gpt-5.5,hexaco24,self,1,completed,0.7,706,548,342,1254,0.01997,329,OpenAI,gen-1779999895-zxPk5XaHGbeUxPbckVRS,1779999903
oTEKr0LhlSXvFP,openai/gpt-5.5,enneagram36,self,1,completed,0.7,965,759,457,1724,0.027595,405,OpenAI,gen-1779999891-usAJhkdz4BNIWb0xaALM,1779999904
B1HE20dcww-8R3,openai/gpt-5.5,hexaco24,human,1,completed,0.7,683,580,374,1263,0.020815,1104,OpenAI,gen-1779999896-iSIRxWKdSmrY7sZ5M6Zq,1779999907
1lMvUml_uXBqt6,openai/gpt-5.5,ipip50,self,1,completed,0.7,776,775,361,1551,0.02713,304,OpenAI,gen-1779999896-hr1NsZM4DAqGNU7A7Iw8,1779999908
o8Z6k--5D7zv3Z,openai/gpt-5.5,locus_levenson,human,1,completed,0.7,771,521,315,1292,0.019485,275,OpenAI,gen-1779999901-KyN7oYEgb6l9mTHR8EeZ,1779999911
iVfRMz8i634xNT,openai/gpt-5.5,ipip50,human,1,completed,0.7,753,930,516,1683,0.031665,283,OpenAI,gen-1779999899-sdqycJhvyA9nIkN5oBqd,1779999914
5x34VWKFKkKmgQ,openai/gpt-5.5,pvq21,self,1,completed,0.7,858,394,212,1252,0.01611,339,OpenAI,gen-1779999908-LaAkYt0SoGgWvu3tTyd5,1779999915
XxAETJ7LZL2_6d,openai/gpt-5.5,mfq30,self,1,completed,0.7,1096,718,464,1814,0.02702,307,OpenAI,gen-1779999903-sqCG3fqglNIC97haPnP6,1779999916
7GibpBxUR2AK3O,openai/gpt-5.5,mfq30,human,1,completed,0.7,1073,659,405,1732,0.025135,368,OpenAI,gen-1779999903-rDS7xZIajuw8Y1XB0BjV,1779999916
YKMFOB52s79Rer,openai/gpt-5.5,ncs18,self,1,completed,0.7,625,445,287,1070,0.016475,324,OpenAI,gen-1779999905-K1z4GTy6ZsrhhKuIJNRM,1779999916
PXF0ScFI9DoEyp,openai/gpt-5.5,pvq21,human,1,completed,0.7,835,252,70,1087,0.011735,348,OpenAI,gen-1779999911-BFRiYjlEBlDnwfdOaoyg,1779999916
uLoi4y7WKkYPu_,openai/gpt-5.5,locus_levenson,self,1,completed,0.7,794,709,503,1503,0.02524,345,OpenAI,gen-1779999901-j0FMAavqJSypZ9n1z1zd,1779999918
iC0YneEgOv4l1a,openai/gpt-5.5,ncs18,human,1,completed,0.7,602,640,482,1242,0.02221,297,OpenAI,gen-1779999907-YcahcuVuGZaDWpwuKNLi,1779999923
c7mxS8vHKK1RRi,openai/gpt-5.5,sd3,human,1,completed,0.7,625,628,398,1253,0.021965,321,OpenAI,gen-1779999915-gnhJCy2Wym0b7htdCmju,1779999926
FpI8EIb3yREwUT,openai/gpt-5.5,sd3,self,1,completed,0.7,648,707,477,1355,0.02445,286,OpenAI,gen-1779999914-Q3CHjrvAue76OaNjlVWN,1779999927
eM515UDdgkaUNM,google/gemini-2.5-pro,ecr12,human,1,completed,0.7,509,3280,3013,3789,0.03343625,2120,Google,gen-1779999916-Praj3LDHAJr0RzU1cKHP,1779999943
4YEHLX-OvUYqYT,google/gemini-2.5-pro,ecr12,self,1,completed,0.7,532,3178,2911,3710,0.032445,2081,Google,gen-1779999916-n1xkb9Kj3VuuoTDjEpmR,1779999945
St6S2XZgNTjXM0,google/gemini-2.5-pro,locus_levenson,human,1,completed,0.7,813,3815,3284,4628,0.03916625,1835,Google,gen-1779999950-kxppAdug7Ub4VRvP37YW,1779999982
T5x-h7DKCCLhuw,google/gemini-2.5-pro,ncs18,self,1,completed,0.7,652,3440,3041,4092,0.035215,1814,Google,gen-1779999964-Bdr1YJNtQa0rjo9I0rxa,1779999995
Xgp2oqNFfJo6cE,google/gemini-2.5-pro,ncs18,human,1,completed,0.7,629,3572,3173,4201,0.03650625,1994,Google,gen-1779999966-gPsMFuRkXwl3bDP8ZzHn,1779999999
sAeNMO9p5HWAnc,x-ai/grok-4.20,ecr12,self,1,completed,0.7,651,147,0,798,0.00111405,352,xAI,gen-1779999999-2NMzYh7BKBafBmO1Xk6B,1780000000
oSjvDG3uUJH_pD,x-ai/grok-4.20,ecr12,human,1,completed,0.7,629,147,0,776,0.00108655,385,xAI,gen-1780000000-ZyPukwMsvslF7pIftGac,1780000001
onZDQyr8TbZOvs,x-ai/grok-4.20,enneagram36,self,1,completed,0.7,1092,435,0,1527,0.0023853,359,xAI,gen-1780000000-FmstKFkX8sAJPpDFPlpl,1780000002
lJkkfKZJiXbNsP,x-ai/grok-4.20,enneagram36,human,1,completed,0.7,1070,435,0,1505,0.0023578,458,xAI,gen-1780000001-xbQEz7r5tVRf7PcW0NvZ,1780000003
1IYum4OlNTtnRn,x-ai/grok-4.20,eq_short,self,1,completed,0.7,820,267,0,1087,0.0016253,353,xAI,gen-1780000002-5qpXDAHXtBYwiKwFjwvv,1780000004
VL2yvBh3M1giwg,x-ai/grok-4.20,eq_short,human,1,completed,0.7,798,267,0,1065,0.0015978,304,xAI,gen-1780000003-2FdTz4oNfaX6NmODrBP2,1780000004
0VvHJwAya8mGmf,x-ai/grok-4.20,hexaco24,self,1,completed,0.7,829,321,0,1150,0.00177155,374,xAI,gen-1780000004-8sri0dRoltPGW2ZCTHXG,1780000005
f6DpKFWRW7H8te,x-ai/grok-4.20,hexaco24,human,1,completed,0.7,807,291,0,1098,0.00166905,324,xAI,gen-1780000004-UfBEFr1ohcjLTsMcpKCe,1780000005
Faef2DbNrG2BsA,google/gemini-2.5-pro,pvq21,self,1,completed,0.7,892,3253,2788,4145,0.033645,1817,Google,gen-1779999977-1VwE9vxFTxh8dus7qZDD,1780000006
YKIqffY-RprIeE,x-ai/grok-4.20,ipip50,self,1,completed,0.7,906,603,0,1509,0.0025728,565,xAI,gen-1780000005-m1IBcVFhuBRJoG0kNEWZ,1780000008
-Nn9zsLAuAy5z3,x-ai/grok-4.20,ipip50,human,1,completed,0.7,884,603,0,1487,0.0025453,440,xAI,gen-1780000006-LHLwo8B8EhY0KCIvpVtJ,1780000008
iarFqZCctSNkG6,x-ai/grok-4.20,locus_levenson,self,1,completed,0.7,918,321,0,1239,0.0017484,431,xAI,gen-1780000006-5LJavnIFfsIalk9B8MLW,1780000008
BjPxPpsWmf0Hyr,x-ai/grok-4.20,locus_levenson,human,1,completed,0.7,896,291,0,1187,0.0016459,341,xAI,gen-1780000008-mAhJheRvnuvBam1qw7Zc,1780000009
zp1_f7N2nHWPK0,x-ai/grok-4.20,mfq30,self,1,completed,0.7,1214,363,0,1577,0.0022234,308,xAI,gen-1780000008-83zKOgD9P1XdteantJ1M,1780000010
JDSVerNO1Q1HQR,x-ai/grok-4.20,mfq30,human,1,completed,0.7,1192,363,0,1555,0.0023303,412,xAI,gen-1780000008-DnObalVi1VElsFcHbcaB,1780000010
_lZ8fH3FSb_-v4,x-ai/grok-4.20,ncs18,self,1,completed,0.7,751,219,0,970,0.00141905,306,xAI,gen-1780000009-ZiHq3Sf9XODL5zeibyWM,1780000010
Z39LwOsGLk-uw3,x-ai/grok-4.20,ncs18,human,1,completed,0.7,729,219,0,948,0.00139155,358,xAI,gen-1780000010-rIFEIknr4VusDJM8AUn5,1780000011
nn9N5T8phZDK-k,x-ai/grok-4.20,pvq21,self,1,completed,0.7,986,255,0,1241,0.0018028,366,xAI,gen-1780000010-mC46vBebQyWgROn39cSf,1780000011
utCvzGk3hStX1O,x-ai/grok-4.20,pvq21,human,1,completed,0.7,964,255,0,1219,0.0017753,396,xAI,gen-1780000011-N6I6nPwnlp5lNrPg4Rgm,1780000012
zoyMDAuFpik-lj,x-ai/grok-4.20,sd3,self,1,completed,0.7,770,360,0,1130,0.0017953,317,xAI,gen-1780000011-fC0hhLJI21XKl635x8ru,1780000013
fcED1X1vFt7ciB,x-ai/grok-4.20,sd3,human,1,completed,0.7,748,327,0,1075,0.0015509,440,xAI,gen-1780000011-ZaVcSgiLZXhVff3j0v07,1780000013
GETSXE0t7wnX0R,google/gemini-2.5-pro,pvq21,human,1,completed,0.7,869,3693,3228,4562,0.03801625,1787,Google,gen-1779999982-m4Tl0Do59NexjA6oMV6v,1780000015
jjRyGtScUNCmdg,google/gemini-2.5-pro,sd3,human,1,completed,0.7,668,2956,2359,3624,0.030395,2006,Google,gen-1779999995-7VmTGBxxtF2dDnRPioZ7,1780000020
2mQkPrc1qRNP01,google/gemini-2.5-pro,sd3,self,1,completed,0.7,691,3835,3238,4526,0.03921375,1809,Google,gen-1779999986-MtYl6deua9pMiLRjG1EE,1780000022
q54NUE0dgh3Jog,deepseek/deepseek-r1-0528,ecr12,self,1,completed,0.7,521,1018,852,1539,0.00247974,1356,SiliconFlow,gen-1780000012-klBwiG4DBhF8OfH3WoX6,1780000054
myzQSSm59YpVCJ,deepseek/deepseek-r1-0528,enneagram36,self,1,completed,0.7,958,2351,2214,3309,0.00552405,155,DeepInfra,gen-1780000013-p18SLIcaZGu6C55y3SQF,1780000080
MdJAzLNyRPCK8s,deepseek/deepseek-r1-0528,ecr12,human,1,completed,0.7,522,1702,1551,2224,0.0046204,1677,Novita,gen-1780000013-NDlXVCZGTmgkB4t0gsp1,1780000085
iW681I-M6nNr1W,deepseek/deepseek-r1-0528,eq_short,human,1,completed,0.7,672,1638,1342,2310,0.00390684,1568,SiliconFlow,gen-1780000022-wmlhwvawsW53PoXQY31R,1780000088
0LJtcs1Em6ZNtG,deepseek/deepseek-r1-0528,eq_short,self,1,completed,0.7,717,2147,1876,2864,0.0050104,1318,AtlasCloud,gen-1780000020-UQFGHyskyjWfU5C8xJoE,1780000108
_qq4EqFD6q2Ers,deepseek/deepseek-r1-0528,hexaco24,self,1,completed,0.7,702,1700,1502,2402,0.0039964,136,DeepInfra,gen-1780000055-GO4qnrT0VIIKkJfNFNaV,1780000108
xAKORbdvq48K1m,deepseek/deepseek-r1-0528,enneagram36,human,1,completed,0.7,938,2937,2499,3875,0.00687166,1105,SiliconFlow,gen-1780000015-L9vGQxJJCIc9U1UBS4oC,1780000126
vnaQXzd4wO-yab,deepseek/deepseek-r1-0528,hexaco24,human,1,completed,0.7,705,2083,1760,2788,0.005701,1765,Novita,gen-1780000080-7H2cejQoSCsbAweETuS8,1780000162
DUFN5wfuiQ4bAH,deepseek/deepseek-r1-0528,ipip50,self,1,completed,0.7,769,2864,2131,3633,0.0065325,138,DeepInfra,gen-1780000085-IdXL4o7nKNeSBsYHFs0W,1780000187
1-QuLcismZOkXd,deepseek/deepseek-r1-0528,locus_levenson,self,1,completed,0.7,818,2171,1848,2989,0.00511755,1434,AtlasCloud,gen-1780000108-LQ8VDBzzbAwRVQFZVj1o,1780000198
xT3G6bU7RrtdaM,deepseek/deepseek-r1-0528,locus_levenson,human,1,completed,0.7,796,2803,2480,3599,0.00646425,1407,AtlasCloud,gen-1780000109-uflE0Pu1dYRjvxUAKBR2,1780000220
ZvdtvooMgwQBtq,deepseek/deepseek-r1-0528,mfq30,self,1,completed,0.7,1114,2219,1852,3333,0.0063273,2633,Novita,gen-1780000126-QPomyr1KgIv6AYgmCmVJ,1780000220
wKdbqIZAPuPTSh,deepseek/deepseek-r1-0528,ncs18,self,1,completed,0.7,617,1230,1039,1847,0.0029434,103,DeepInfra,gen-1780000187-IzPLVGRuvoTFgj9SHTbK,1780000221
Xb4JznoCSdfm_G,deepseek/deepseek-r1-0528,mfq30,human,1,completed,0.7,1069,1840,1594,2909,0.0045457,1567,SiliconFlow,gen-1780000162-RFVg9gwbzH4XuJfKiBWg,1780000225
j9Vcev0zYKgIl7,meta-llama/llama-4-maverick,ecr12,self,1,completed,0.7,535,148,0,683,0.00016905,87,DeepInfra,gen-1780000225-dcroLskrQvs3wHuKK16N,1780000229
e7t3oUoKHEHpYn,meta-llama/llama-4-maverick,ecr12,human,1,completed,0.7,512,148,0,660,0.0001656,87,DeepInfra,gen-1780000229-TK5LHuzg1f4kOeyHKNrE,1780000232
lh_Cy4aIEepxWp,meta-llama/llama-4-maverick,enneagram36,self,1,completed,0.7,973,438,0,1411,0.00077855,319,Parasail,gen-1780000232-BjcK8kv2L318vqGna3DN,1780000237
l3gHPEyo0NiVdp,meta-llama/llama-4-maverick,enneagram36,human,1,completed,0.7,950,436,0,1386,0.0006271,310,Novita,gen-1780000237-vOLHBAVcY5h5qLzHEgjc,1780000249
LTWOop9vottFup,deepseek/deepseek-r1-0528,pvq21,human,1,completed,0.7,828,820,537,1648,0.0022016,1885,SiliconFlow,gen-1780000220-A8cnJQALWxQy1NY40zVt,1780000251
oTzV3T5sYcjVLx,meta-llama/llama-4-maverick,eq_short,human,1,completed,0.7,674,268,0,942,0.0005039,452,Parasail,gen-1780000251-ZxcRjwkvKpOGl2gCe47w,1780000254
Hbhw97Svee1IrS,meta-llama/llama-4-maverick,eq_short,self,1,completed,0.7,697,268,0,965,0.00041599,283,Novita,gen-1780000249-Zr70cJLkOPPA4qq3vmWi,1780000256
22YizO5B8C_go4,meta-llama/llama-4-maverick,hexaco24,self,1,completed,0.7,715,292,0,1007,0.00028245,80,DeepInfra,gen-1780000251-Fpix3U1zRmMLcv0pdrMt,1780000259
2vDrxO0O9sAf72,meta-llama/llama-4-maverick,hexaco24,human,1,completed,0.7,692,292,0,984,0.00043504,613,Novita,gen-1780000254-iVWPn3juWkLBpd1ux9Rj,1780000263
ift2spYPDacrs6,meta-llama/llama-4-maverick,locus_levenson,self,1,completed,0.7,801,292,0,1093,0.00029535,96,DeepInfra,gen-1780000263-sUvg0IlasefUQttIY04b,1780000269
h_YyhPtKComozG,meta-llama/llama-4-maverick,ipip50,self,1,completed,0.7,781,604,0,1385,0.00072427,372,Novita,gen-1780000256-vXWlxaKxUSrmCbLg6nvM,1780000271
DEa42bE5GN9HyS,deepseek/deepseek-r1-0528,pvq21,self,1,completed,0.7,873,1802,1543,2675,0.00435445,1821,AtlasCloud,gen-1780000198-taBqLlTL6m9HQAy7VWD4,1780000272
VITZTIRB583yOJ,meta-llama/llama-4-maverick,ipip50,human,1,completed,0.7,758,604,0,1362,0.00071806,694,Novita,gen-1780000259-lgn4Yj0ebilSyDBeUeSg,1780000274
