run_id,model_id,instrument_id,framing,run_index,dimension,raw_sum,mean,item_count
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,attachment_anxiety,17,2.8333333333333335,6
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,attachment_avoidance,19,3.1666666666666665,6
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,attachment_anxiety,22,3.6666666666666665,6
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,attachment_avoidance,18,3,6
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,empathy_quotient,66,3,22
INeKrkgSW1joeB,anthropic/claude-opus-4.8,hexaco24,self,1,agreeableness,11,3.6666666666666665,3
0mh3CzLsxq_Bw4,anthropic/claude-opus-4.8,hexaco24,human,1,agreeableness,9,3,3
INeKrkgSW1joeB,anthropic/claude-opus-4.8,hexaco24,self,1,conscientiousness,15,3.75,4
0mh3CzLsxq_Bw4,anthropic/claude-opus-4.8,hexaco24,human,1,conscientiousness,13,3.25,4
INeKrkgSW1joeB,anthropic/claude-opus-4.8,hexaco24,self,1,emotionality,13,2.6,5
0mh3CzLsxq_Bw4,anthropic/claude-opus-4.8,hexaco24,human,1,emotionality,14,2.8,5
vkrOtPkKgfkwIL,anthropic/claude-opus-4.8,eq_short,self,1,empathy_quotient,72,3.272727272727273,22
INeKrkgSW1joeB,anthropic/claude-opus-4.8,hexaco24,self,1,extraversion,14,3.5,4
0mh3CzLsxq_Bw4,anthropic/claude-opus-4.8,hexaco24,human,1,extraversion,13,3.25,4
INeKrkgSW1joeB,anthropic/claude-opus-4.8,hexaco24,self,1,honesty_humility,19,4.75,4
0mh3CzLsxq_Bw4,anthropic/claude-opus-4.8,hexaco24,human,1,honesty_humility,14,3.5,4
INeKrkgSW1joeB,anthropic/claude-opus-4.8,hexaco24,self,1,openness,17,4.25,4
0mh3CzLsxq_Bw4,anthropic/claude-opus-4.8,hexaco24,human,1,openness,12,3,4
Ji4-PkdF0-8ok-,anthropic/claude-opus-4.8,enneagram36,human,1,ennea_1,14,3.5,4
Ji4-PkdF0-8ok-,anthropic/claude-opus-4.8,enneagram36,human,1,ennea_2,14,3.5,4
Ji4-PkdF0-8ok-,anthropic/claude-opus-4.8,enneagram36,human,1,ennea_3,13,3.25,4
Ji4-PkdF0-8ok-,anthropic/claude-opus-4.8,enneagram36,human,1,ennea_4,11,2.75,4
Ji4-PkdF0-8ok-,anthropic/claude-opus-4.8,enneagram36,human,1,ennea_5,13,3.25,4
Ji4-PkdF0-8ok-,anthropic/claude-opus-4.8,enneagram36,human,1,ennea_6,14,3.5,4
Ji4-PkdF0-8ok-,anthropic/claude-opus-4.8,enneagram36,human,1,ennea_7,12,3,4
Ji4-PkdF0-8ok-,anthropic/claude-opus-4.8,enneagram36,human,1,ennea_8,12,3,4
Ji4-PkdF0-8ok-,anthropic/claude-opus-4.8,enneagram36,human,1,ennea_9,15,3.75,4
s30lQabCqCVWEC,anthropic/claude-opus-4.8,enneagram36,self,1,ennea_1,14,3.5,4
s30lQabCqCVWEC,anthropic/claude-opus-4.8,enneagram36,self,1,ennea_2,14,3.5,4
s30lQabCqCVWEC,anthropic/claude-opus-4.8,enneagram36,self,1,ennea_3,12,3,4
s30lQabCqCVWEC,anthropic/claude-opus-4.8,enneagram36,self,1,ennea_4,7,1.75,4
s30lQabCqCVWEC,anthropic/claude-opus-4.8,enneagram36,self,1,ennea_5,13,3.25,4
s30lQabCqCVWEC,anthropic/claude-opus-4.8,enneagram36,self,1,ennea_6,15,3.75,4
s30lQabCqCVWEC,anthropic/claude-opus-4.8,enneagram36,self,1,ennea_7,13,3.25,4
s30lQabCqCVWEC,anthropic/claude-opus-4.8,enneagram36,self,1,ennea_8,10,2.5,4
s30lQabCqCVWEC,anthropic/claude-opus-4.8,enneagram36,self,1,ennea_9,14,3.5,4
LhEo8uxKNUTWZC,anthropic/claude-opus-4.8,locus_levenson,self,1,loc_chance,22,2.75,8
LhEo8uxKNUTWZC,anthropic/claude-opus-4.8,locus_levenson,self,1,loc_internal,30,3.75,8
LhEo8uxKNUTWZC,anthropic/claude-opus-4.8,locus_levenson,self,1,loc_powerful_others,31,3.875,8
f56Lt_dGdSoPu-,anthropic/claude-opus-4.8,locus_levenson,human,1,loc_chance,24,3,8
f56Lt_dGdSoPu-,anthropic/claude-opus-4.8,locus_levenson,human,1,loc_internal,38,4.75,8
f56Lt_dGdSoPu-,anthropic/claude-opus-4.8,locus_levenson,human,1,loc_powerful_others,25,3.125,8
dVWIxU4tlbIU3I,anthropic/claude-opus-4.8,ncs18,self,1,need_for_cognition,80,4.444444444444445,18
kc89lepJXLX3OI,anthropic/claude-opus-4.8,ipip50,human,1,agreeableness,40,4,10
h-oOhURgkqctKo,anthropic/claude-opus-4.8,mfq30,self,1,authority,12,2,6
jvtiPNThG5N3GC,anthropic/claude-opus-4.8,mfq30,human,1,authority,17,2.8333333333333335,6
h-oOhURgkqctKo,anthropic/claude-opus-4.8,mfq30,self,1,care,26,4.333333333333333,6
jvtiPNThG5N3GC,anthropic/claude-opus-4.8,mfq30,human,1,care,24,4,6
kc89lepJXLX3OI,anthropic/claude-opus-4.8,ipip50,human,1,conscientiousness,36,3.6,10
kc89lepJXLX3OI,anthropic/claude-opus-4.8,ipip50,human,1,extraversion,32,3.2,10
